"pvalues","AOB","OB","rho_AOB","rho_OB"
1,0.0437488649460065,0.0874977298920129,0.0437488649460065,0.0874977298920129
1,0.0144317433458976,0.0288634866917952,0.0147740157870431,0.028955797119441
1,0.00754349804780899,0.015086996095618,0.00803351064682494,0.0154688644944582
1,0.004760699877789,0.00952139975557799,0.005324369158191,0.00990884774884961
1,0.00333130796275257,0.00666261592550514,0.00393576921411139,0.00713670067564016
1,0.00248842633724596,0.00497685267449192,0.00313090838235018,0.00552096753298763
1,0.00194450885774973,0.00388901771549947,0.00259449668345847,0.00446453894610606
0.0745605144918646,0.00157044528738953,0.00314089057477906,0.00223433659456074,0.00374901570947461
0.429385752625915,0.00157044528738953,0.00260140979051812,0.00289822790173195,0.00323083036931736
0.102950751134848,0.00157044528738953,0.00219784360503637,0.00356211920890316,0.00285176432005733
0.136006628017733,0.00157044528738953,0.00188698517969593,0.00422601051607437,0.0025684473741428
0.598771515115029,0.00157044528738953,0.00164174911868583,0.00488990182324558,0.00234623136158455
0.598771515115029,0.00130070489525906,0.00144439980728255,0.00196484209093473,0.00216889096221515
1,0.00109892180251819,0.00128289741018437,0.00177925401752125,0.00202562407315718
0.000679990874947952,0.000943492589847963,0.00114881678163257,0.00162581470732408,0.0018959970476348
1,0.000943492589847963,0.00103610749007325,0.0023081368248002,0.00179544781780235
1,0.000820874559342916,0.000940326144600906,0.00152480700966,0.00171614991510099
0.0167646478848391,0.000722199903641273,0.000858145199437679,0.00143979500747574,0.00164954505250955
1,0.000722199903641273,0.000787029523154231,0.00215739011131021,0.00158691110606007
1,0.000641448705092184,0.000725018005871778,0.00137693026687449,0.00153708125667295
1,0.000574408390816285,0.000670572769852919,0.00132288834477203,0.00149723592272552
0.000487147740661913,0.000518053745036625,0.000622472968029997,0.00127829154703305,0.00146263744472281
1,0.000518053745036625,0.000579738640661154,0.00203852934902948,0.00142965801439458
1,0.000470163072300453,0.000541575237402596,0.00124920075120796,0.00140420577470075
1,0.00042907259971884,0.00050733260194956,0.00122003274503684,0.00138343565589314
1,0.000393514761577116,0.00047647424300704,0.00119667523434549,0.00136641165350956
1,0.000362509002935889,0.000448554029928403,0.00116718313974739,0.00134170246866568
0.134663767069605,0.000335286384926459,0.000423198320362083,0.00114553658290769,0.00132366801355828
1,0.000335286384926459,0.000400092111736699,0.00195578678088891,0.00131114614744526
1,0.000311236484014998,0.000378968207848208,0.00114019066512224,0.00130227982034835
1,0.000289869320330577,0.000359598668815108,0.00112991469503588,0.00129562236646557
1,0.000270787618701298,0.000341788007390675,0.00112213214035696,0.00129076792870579
1,0.00025366630097478,0.000325367733239445,0.00111405388149349,0.0012850770713011
1,0.00023823712150352,0.000310191946626868,0.00110976524083717,0.00128275205540153
0.080361375182452,0.000224277014964202,0.000296133755673855,0.00110690278670622,0.00128152138500254
0.000853375978267685,0.000224277014964202,0.00028308234481245,0.00198952855844823,0.00128081204030263
0.226362198968804,0.000224277014964202,0.000270940561804026,0.00287215433019025,0.00127294461791456
0.110181391121068,0.000224277014964202,0.000259622920453457,0.00375478010193226,0.00127271522894768
0.144244146348368,0.000224277014964202,0.000249053938655068,0.00463740587367428,0.00127354650976494
1,0.000224277014964202,0.00023916674855015,0.0055200316454163,0.00127330367311673
1.5522235524778e-07,0.000211599160181042,0.000229901928736172,0.0011480883499815,0.0012754349916382
1,0.000211599160181042,0.000221206518642454,0.00208457753978196,0.00127846791169268
0.16265963908722,0.00020004605586835,0.00021303318310655,0.00115599937654986,0.00128169761075694
1,0.00020004605586835,0.000205339501389466,0.00211195269723138,0.0012822911800627
1,0.000189484103924104,0.000198087359757355,0.00116593773967416,0.00128724273832744
1,0.000179799334407554,0.000191242430633279,0.00116494606517474,0.00129030395420703
1,0.000170894003695338,0.000184773724412191,0.00116443291805045,0.00129348101046419
1,0.000162683866619722,0.000178653202507858,0.00116786711015534,0.0013002952986645
0.00981212265982665,0.000155095973313434,0.000172855442194156,0.00116515797920113,0.00130070058258797
1,0.000155095973313434,0.00016735734541636,0.00217521998508882,0.0013047245272012
1,0.000148066877836928,0.000162137885059534,0.00117792092664442,0.00131059215518529
1,0.000141541172406225,0.000157177883231829,0.00117991715341634,0.00131548079784562
0.187665600735556,0.000135470280902013,0.000152459816998461,0.00118420566498681,0.00132247777113122
1,0.000135470280902013,0.000147967647724897,0.0022329410490716,0.00132388395346116
1,0.000129811460226728,0.000143686670785066,0.00117981938125657,0.00133252922567969
1,0.000124526969327534,0.000139603382885893,0.00118633308416994,0.00134177123003731
0.124277054798697,0.000119583374275075,0.000135705364671957,0.00119156361771886,0.00134960172188343
1,0.000119583374275075,0.000131981176618602,0.00226354386116264,0.0013536900004153
1.5522235524778e-07,0.000114950964368086,0.000128420266510664,0.00120660036404389,0.00136069970793191
1,0.000114950964368086,0.000125012887046784,0.00229824976371969,0.00136987330577916
1,0.000110603259321227,0.000121750022314083,0.00122250769530988,0.00137758171277991
1,0.000106516591553275,0.000118623322051234,0.00122987519399972,0.00138745991914955
1,0.000102669750694733,0.000115625042764935,0.00123798406367608,0.00139799319764965
1,9.90436798786773e-05,0.000112747994889825,0.00124596692300148,0.00140832517125573
0.16265963908722,9.56212153166397e-05,0.000109985495288555,0.00125016151265735,0.00141480330835491
1,9.56212153166397e-05,0.000107331324479923,0.00240470180999806,0.00142176744554511
1,9.23868622060955e-05,0.00010477968806121,0.00127097417764678,0.00143343348358185
1,8.93266012539292e-05,0.000102325181858049,0.00128062365847109,0.0014453133122145
1,8.64277210970778e-05,9.996276039308e-05,0.00129053101489895,0.00145740402387168
1,8.367867270818e-05,9.76877083146349e-05,0.00129018188465509,0.001459197620028
1,8.10689425297672e-05,9.5495614469964e-05,0.00130047397332323,0.00147159750238361
0.00472724405536621,7.85889416159146e-05,9.33823483450421e-05,0.00130347449748424,0.00147667599662416
1,7.85889416159146e-05,9.13440386255988e-05,0.00252836005335256,0.00148680948127759
1,7.62299084992305e-05,8.9377053662416e-05,0.00130906252062096,0.00149949577002009
1,7.39838238624487e-05,8.74779836487097e-05,0.00131928784928661,0.00151197244580281
1,7.18433353925328e-05,8.56436243390745e-05,0.00133034023930956,0.0015252578109512
0.000520362876800985,6.98016914429463e-05,8.38709621584398e-05,0.00134026509935735,0.00153740082848436
0.00315187983129389,6.98016914429463e-05,8.21571605661275e-05,0.00261072850727175,0.00154585740640888
1,6.98016914429463e-05,8.0499547554734e-05,0.00388119191518616,0.00155904271123584
1,6.78526823359783e-05,7.88956041764386e-05,0.00137256940381755,0.00156847058938521
1,6.59905883093009e-05,7.73429540006989e-05,0.00138320897792995,0.00158137861920423
1,6.42101332553322e-05,7.58393534173313e-05,0.00139526061265528,0.0015956888048129
1,6.25064435233921e-05,7.43826827078507e-05,0.00140481463488183,0.00160749412798349
1,6.08750111570416e-05,7.29709378158126e-05,0.0014172313488643,0.00162215732437128
0.0668615405692338,5.93116610256171e-05,7.16022227538812e-05,0.00141779882684941,0.00162496869718095
1,5.93116610256171e-05,7.02747425915557e-05,0.00277628599267319,0.00163545823691228
1,5.78125213824675e-05,6.89867969730051e-05,0.00144228635946607,0.00164874868599594
1,5.63739974449126e-05,6.77367741193905e-05,0.00145527069912318,0.00166398615000229
0.148148148148148,5.49927476442775e-05,6.65231452744417e-05,0.00146787440124815,0.00167884462759173
1,5.49927476442775e-05,6.53444595559864e-05,0.00288075605485201,0.00169445438814919
1,5.36656622399615e-05,6.41993391796397e-05,0.00149535487639235,0.00171025381165434
0.0832272035827724,5.2389844030605e-05,6.30864750240121e-05,0.00150725641928,0.00172446729794834
