"pvalues","alord","lord","rho_alord","rho_lord"
1,0.0218744324730032,0.0437488649460065,0.0218744324730032,0.0437488649460065
1,0.00721587167294881,0.0144317433458976,0.00845115283710366,0.0178544677573528
1,0.0037717490239045,0.00754349804780899,0.00585214547176972,0.0127516692349994
1,0.0023803499388945,0.004760699877789,0.00497917668311474,0.0111772537376574
1,0.00166565398137628,0.00333130796275257,0.00463788118765712,0.0107410699901359
1,0.00124421316862298,0.00248842633724596,0.00466685950971231,0.0109589263796857
1,0.000972254428874867,0.00194450885774973,0.00462355368874563,0.0112728685059682
0.0745605144918646,0.000785222643694766,0.00157044528738953,0.00477846241871895,0.0119056769324837
0.429385752625915,0.000785222643694766,0.00130070489525906,0.00877170219374313,0.012664557103691
0.102950751134848,0.000785222643694766,0.00109892180251819,0.0127649419687673,0.0126235737822987
0.136006628017733,0.000785222643694766,0.000943492589847963,0.0167581817437915,0.0132906495435039
0.598771515115029,0.000785222643694766,0.000820874559342916,0.0195161403546608,0.010261770264034
0.598771515115029,0.00065035244762953,0.000722199903641273,0.00402827851297458,0.0089172945617205
1,0.000549460901259093,0.000641448705092184,0.00377725050572705,0.00803335884938547
0.000679990874947952,0.000471746294923982,0.000574408390816285,0.00354583411088253,0.00761841987551173
1,0.000471746294923982,0.000518053745036625,0.0280439352650358,0.0509440350607385
1,0.000410437279671458,0.000470163072300453,0.0106665512730322,0.0236563997197283
0.0167646478848391,0.000361099951820636,0.00042907259971884,0.00730584900683131,0.0174938750226997
1,0.000361099951820636,0.000393514761577116,0.0104788490379375,0.101217551056999
1,0.000320724352546092,0.000362509002935889,0.00632708620662505,0.0451348631884705
1,0.000287204195408143,0.000335286384926459,0.0058384319797029,0.0338061029608204
0.000487147740661913,0.000259026872518312,0.000311236484014998,0.00595794668795971,0.0283775194055041
1,0.000259026872518312,0.000289869320330577,0.0526964355425985,0.11487042617076
1,0.000235081536150227,0.000270787618701298,0.0229380960368814,0.0647514851824981
1,0.00021453629985942,0.00025366630097478,0.0177583582704373,0.0529057447056123
1,0.000196757380788558,0.00023823712150352,0.016598746812325,0.0510178944032153
1,0.000181254501467944,0.000224277014964202,0.0159630777117834,0.0476996827648977
0.134663767069605,0.00016764319246323,0.000211599160181042,0.0160895220139901,0.0442586023203154
1,0.00016764319246323,0.00020004605586835,0.0290512282033471,0.0463176225116797
1,0.000155618242007499,0.000189484103924104,0.0175193670526078,0.0453006520657474
1,0.000144934660165289,0.000179799334407554,0.0173894018996152,0.043699252684977
1,0.000135393809350649,0.000170894003695338,0.0176824493393903,0.0456687669757578
1,0.00012683315048739,0.000162683866619722,0.018452159157328,0.0461976956360406
1,0.00011911856075176,0.000155095973313434,0.0154283672949608,0.0356188493756166
0.080361375182452,0.000112138507482101,0.000148066877836928,0.0141247743135806,0.0344096667414497
0.000853375978267685,0.000112138507482101,0.000141541172406225,0.0253056181971422,0.0320134873731015
0.226362198968804,0.000112138507482101,0.000135470280902013,0.078679983228481,0.119240043656673
0.110181391121068,0.000112138507482101,0.000129811460226728,0.0867701332449125,0.0674445379471358
0.144244146348368,0.000112138507482101,0.000124526969327534,0.0948602832613441,0.0560942279240212
1,0.000112138507482101,0.000119583374275075,0.100450324909875,0.050850545776643
1.5522235524778e-07,0.000105799580090521,0.000114950964368086,0.0280634973661557,0.0471189205270382
1,0.0219802320530937,0.0438594682053277,0.0832197434229344,0.131824731033911
0.16265963908722,0.00731589470088298,0.0145382599374509,0.0410558116270523,0.0694771833283283
